model_name,module_name,category_name,response_level,function_name,confidence
yolox,module4,car,0.0453,多模态融合,0.82
yolox,module4,traffic_light,0.0280,语义分割,0.77
yolox,module4,bird,0.0396,关系建模,0.80
yolox,module4,backpack,0.0314,多模态融合,0.81
yolox,module4,sports_ball,0.0389,物体检测,0.83
yolox,module4,bottle,0.0256,关系建模,0.78
yolox,module4,apple,0.0312,多模态融合,0.80
yolox,module4,couch,0.0226,边界框回归,0.76
yolox,module4,laptop,0.0179,关系建模,0.77


faster_rcnn,module1,person,0.0096,边缘检测,0.65
faster_rcnn,module1,car,0.0098,纹理识别,0.68
faster_rcnn,module1,traffic_light,0.0100,物体检测,0.72
faster_rcnn,module1,bird,0.0098,边缘检测,0.67
faster_rcnn,module1,backpack,0.0099,纹理识别,0.69
faster_rcnn,module1,sports_ball,0.0100,物体检测,0.73
faster_rcnn,module1,bottle,0.0096,边缘检测,0.66
faster_rcnn,module1,apple,0.0098,纹理识别,0.68
faster_rcnn,module1,couch,0.0097,物体检测,0.71
faster_rcnn,module1,laptop,0.0096,边缘检测,0.65
faster_rcnn,module2,person,-0.0111,边界框回归,0.62
faster_rcnn,module2,car,-0.0096,关键点检测,0.65
faster_rcnn,module2,traffic_light,-0.0113,边界框回归,0.61
faster_rcnn,module2,bird,-0.0099,姿态估计,0.64
faster_rcnn,module2,backpack,-0.0099,边界框回归,0.63
faster_rcnn,module2,sports_ball,-0.0096,关键点检测,0.66
faster_rcnn,module2,bottle,-0.0099,边界框回归,0.62
faster_rcnn,module2,apple,-0.0110,姿态估计,0.63
faster_rcnn,module2,couch,-0.0092,边界框回归,0.64
faster_rcnn,module2,laptop,-0.0113,关键点检测,0.63
faster_rcnn,module3,person,-0.0728,语义分割,0.55
faster_rcnn,module3,car,-0.0821,场景分类,0.52
faster_rcnn,module3,traffic_light,-0.0817,语义分割,0.54
faster_rcnn,module3,bird,-0.0754,关系建模,0.57
faster_rcnn,module3,backpack,-0.0723,语义分割,0.56
faster_rcnn,module3,sports_ball,-0.0807,场景分类,0.53
faster_rcnn,module3,bottle,-0.0800,语义分割,0.55
faster_rcnn,module3,apple,-0.0841,关系建模,0.54
faster_rcnn,module3,couch,-0.0784,语义分割,0.54
faster_rcnn,module3,laptop,-0.0839,场景分类,0.51
faster_rcnn,module4,person,-0.0286,多模态融合,0.58
faster_rcnn,module4,car,-0.0350,光照适应,0.55
faster_rcnn,module4,traffic_light,-0.0312,多模态融合,0.57
faster_rcnn,module4,bird,-0.0256,颜色感知,0.60
faster_rcnn,module4,backpack,-0.0293,多模态融合,0.59
faster_rcnn,module4,sports_ball,-0.0283,光照适应,0.56
faster_rcnn,module4,bottle,-0.0266,多模态融合,0.58
faster_rcnn,module4,apple,-0.0366,颜色感知,0.57
faster_rcnn,module4,couch,-0.0261,多模态融合,0.57
faster_rcnn,module4,laptop,-0.0280,光照适应,0.55


ssd,module_conv4_3,person,1.0814,物体检测,0.92
ssd,module_conv4_3,car,1.3907,边界框回归,0.95
ssd,module_conv4_3,traffic_light,1.2247,边缘检测,0.88
ssd,module_conv4_3,bird,1.0954,物体检测,0.91
ssd,module_conv4_3,backpack,1.2499,边界框回归,0.94
ssd,module_conv4_3,sports_ball,1.4896,纹理识别,0.89
ssd,module_conv4_3,bottle,1.1606,物体检测,0.90
ssd,module_conv4_3,apple,1.5987,边界框回归,0.96
ssd,module_conv4_3,couch,0.9081,颜色感知,0.85
ssd,module_conv4_3,laptop,1.1345,物体检测,0.89
ssd,module_conv7,person,0.0090,关键点检测,0.75
ssd,module_conv7,car,-0.0399,语义分割,0.72
ssd,module_conv7,traffic_light,-0.0069,关键点检测,0.74
ssd,module_conv7,bird,0.0049,光照适应,0.70
ssd,module_conv7,backpack,-0.0471,关键点检测,0.73
ssd,module_conv7,sports_ball,-0.0073,场景分类,0.71
ssd,module_conv7,bottle,-0.0182,关键点检测,0.72
ssd,module_conv7,apple,-0.0275,关系建模,0.68
ssd,module_conv7,couch,-0.0471,关键点检测,0.71
ssd,module_conv7,laptop,-0.0359,多模态融合,0.69
ssd,module_conv8_2,person,0.0481,关系建模,0.78
ssd,module_conv8_2,car,-0.0066,多模态融合,0.75
ssd,module_conv8_2,traffic_light,0.0234,物体检测,0.82
ssd,module_conv8_2,bird,0.0775,关系建模,0.79
ssd,module_conv8_2,backpack,0.0188,多模态融合,0.76
ssd,module_conv8_2,sports_ball,0.0374,边界框回归,0.80
ssd,module_conv8_2,bottle,-0.0007,关系建模,0.77
ssd,module_conv8_2,apple,-0.0312,语义分割,0.73
ssd,module_conv8_2,couch,0.0367,关系建模,0.78
ssd,module_conv8_2,laptop,0.0190,多模态融合,0.75
ssd,module_conv9_2,person,0.0022,场景分类,0.68
ssd,module_conv9_2,car,0.0051,光照适应,0.72
ssd,module_conv9_2,traffic_light,0.0049,场景分类,0.69
ssd,module_conv9_2,bird,-0.0049,颜色感知,0.70
ssd,module_conv9_2,backpack,0.0083,场景分类,0.70
ssd,module_conv9_2,sports_ball,0.0255,边缘检测,0.75
ssd,module_conv9_2,bottle,-0.0105,场景分类,0.67
ssd,module_conv9_2,apple,0.0048,纹理识别,0.73
ssd,module_conv9_2,couch,-0.0132,场景分类,0.66
ssd,module_conv9_2,laptop,-0.0191,关键点检测,0.71


mask_rcnn,module1,person,0.0096,边缘检测,0.65
mask_rcnn,module1,car,0.0098,纹理识别,0.68
mask_rcnn,module1,traffic_light,0.0100,物体检测,0.72
mask_rcnn,module1,bird,0.0098,边缘检测,0.67
mask_rcnn,module1,backpack,0.0099,纹理识别,0.69
mask_rcnn,module1,sports_ball,0.0100,物体检测,0.73
mask_rcnn,module1,bottle,0.0096,边缘检测,0.66
mask_rcnn,module1,apple,0.0098,纹理识别,0.68
mask_rcnn,module1,couch,0.0097,物体检测,0.71
mask_rcnn,module1,laptop,0.0096,边缘检测,0.65
mask_rcnn,module2,person,-0.0124,边界框回归,0.62
mask_rcnn,module2,car,-0.0123,关键点检测,0.65
mask_rcnn,module2,traffic_light,-0.0145,边界框回归,0.61
mask_rcnn,module2,bird,-0.0117,姿态估计,0.64
mask_rcnn,module2,backpack,-0.0129,边界框回归,0.63
mask_rcnn,module2,sports_ball,-0.0123,关键点检测,0.66
mask_rcnn,module2,bottle,-0.0135,边界框回归,0.62
mask_rcnn,module2,apple,-0.0137,姿态估计,0.63
mask_rcnn,module2,couch,-0.0117,边界框回归,0.64
mask_rcnn,module2,laptop,-0.0137,关键点检测,0.63
mask_rcnn,module3,person,-0.0927,语义分割,0.55
mask_rcnn,module3,car,-0.0937,场景分类,0.52
mask_rcnn,module3,traffic_light,-0.0905,语义分割,0.54
mask_rcnn,module3,bird,-0.0811,关系建模,0.57
mask_rcnn,module3,backpack,-0.0914,语义分割,0.56
mask_rcnn,module3,sports_ball,-0.0975,场景分类,0.53
mask_rcnn,module3,bottle,-0.0892,语义分割,0.55
mask_rcnn,module3,apple,-0.0962,关系建模,0.54
mask_rcnn,module3,couch,-0.0917,语义分割,0.54
mask_rcnn,module3,laptop,-0.0894,场景分类,0.51
mask_rcnn,module4,person,-0.0381,多模态融合,0.58
mask_rcnn,module4,car,-0.0430,光照适应,0.55
mask_rcnn,module4,traffic_light,-0.0382,多模态融合,0.57
mask_rcnn,module4,bird,-0.0332,颜色感知,0.60
mask_rcnn,module4,backpack,-0.0346,多模态融合,0.59
mask_rcnn,module4,sports_ball,-0.0506,光照适应,0.56
mask_rcnn,module4,bottle,-0.0428,多模态融合,0.58
mask_rcnn,module4,apple,-0.0516,颜色感知,0.57
mask_rcnn,module4,couch,-0.0413,多模态融合,0.57
mask_rcnn,module4,laptop,-0.0400,光照适应,0.55


retinanet,module1,person,0.0096,物体检测,0.85
retinanet,module1,car,0.0098,边界框回归,0.88
retinanet,module1,traffic_light,0.0100,边缘检测,0.82
retinanet,module1,bird,0.0098,物体检测,0.84
retinanet,module1,backpack,0.0099,边界框回归,0.87
retinanet,module1,sports_ball,0.0100,纹理识别,0.83
retinanet,module1,bottle,0.0096,物体检测,0.83
retinanet,module1,apple,0.0098,边界框回归,0.86
retinanet,module1,couch,0.0097,颜色感知,0.80
retinanet,module1,laptop,0.0096,物体检测,0.82
retinanet,module2,person,-0.0121,关键点检测,0.78
retinanet,module2,car,-0.0115,语义分割,0.75
retinanet,module2,traffic_light,-0.0113,关键点检测,0.77
retinanet,module2,bird,-0.0113,光照适应,0.72
retinanet,module2,backpack,-0.0122,关键点检测,0.76
retinanet,module2,sports_ball,-0.0092,场景分类,0.74
retinanet,module2,bottle,-0.0122,关键点检测,0.75
retinanet,module2,apple,-0.0135,关系建模,0.70
retinanet,module2,couch,-0.0106,关键点检测,0.77
retinanet,module2,laptop,-0.0121,多模态融合,0.73
retinanet,module3,person,-0.0534,关系建模,0.68
retinanet,module3,car,-0.0562,多模态融合,0.72
retinanet,module3,traffic_light,-0.0490,物体检测,0.75
retinanet,module3,bird,-0.0494,关系建模,0.69
retinanet,module3,backpack,-0.0535,多模态融合,0.71
retinanet,module3,sports_ball,-0.0610,边界框回归,0.74
retinanet,module3,bottle,-0.0483,关系建模,0.67
retinanet,module3,apple,-0.0502,语义分割,0.70
retinanet,module3,couch,-0.0477,关系建模,0.68
retinanet,module3,laptop,-0.0475,多模态融合,0.70
retinanet,module4,person,-0.0361,场景分类,0.65
retinanet,module4,car,-0.0355,光照适应,0.68
retinanet,module4,traffic_light,-0.0369,场景分类,0.66
retinanet,module4,bird,-0.0377,颜色感知,0.67
retinanet,module4,backpack,-0.0352,场景分类,0.67
retinanet,module4,sports_ball,-0.0359,边缘检测,0.70
retinanet,module4,bottle,-0.0367,场景分类,0.64
retinanet,module4,apple,-0.0333,纹理识别,0.69
retinanet,module4,couch,-0.0360,场景分类,0.65
retinanet,module4,laptop,-0.0351,关键点检测,0.71


cascade_rcnn,module1,person,0.0096,物体检测,0.88
cascade_rcnn,module1,car,0.0098,边界框回归,0.91
cascade_rcnn,module1,traffic_light,0.0100,边缘检测,0.85
cascade_rcnn,module1,bird,0.0098,物体检测,0.87
cascade_rcnn,module1,backpack,0.0099,边界框回归,0.90
cascade_rcnn,module1,sports_ball,0.0100,纹理识别,0.86
cascade_rcnn,module1,bottle,0.0096,物体检测,0.86
cascade_rcnn,module1,apple,0.0098,边界框回归,0.89
cascade_rcnn,module1,couch,0.0097,颜色感知,0.83
cascade_rcnn,module1,laptop,0.0096,物体检测,0.85
cascade_rcnn,module2,person,-0.0097,关键点检测,0.82
cascade_rcnn,module2,car,-0.0078,语义分割,0.79
cascade_rcnn,module2,traffic_light,-0.0084,关键点检测,0.81
cascade_rcnn,module2,bird,-0.0090,光照适应,0.76
cascade_rcnn,module2,backpack,-0.0088,关键点检测,0.80
cascade_rcnn,module2,sports_ball,-0.0066,场景分类,0.78
cascade_rcnn,module2,bottle,-0.0096,关键点检测,0.79
cascade_rcnn,module2,apple,-0.0110,关系建模,0.74
cascade_rcnn,module2,couch,-0.0088,关键点检测,0.81
cascade_rcnn,module2,laptop,-0.0108,多模态融合,0.77
cascade_rcnn,module3,person,-0.0973,关系建模,0.72
cascade_rcnn,module3,car,-0.1066,多模态融合,0.76
cascade_rcnn,module3,traffic_light,-0.1018,物体检测,0.79
cascade_rcnn,module3,bird,-0.0996,关系建模,0.73
cascade_rcnn,module3,backpack,-0.1053,多模态融合,0.75
cascade_rcnn,module3,sports_ball,-0.1096,边界框回归,0.78
cascade_rcnn,module3,bottle,-0.1035,关系建模,0.71
cascade_rcnn,module3,apple,-0.1129,语义分割,0.74
cascade_rcnn,module3,couch,-0.1084,关系建模,0.72
cascade_rcnn,module3,laptop,-0.1057,多模态融合,0.74
cascade_rcnn,module4,person,-0.0669,场景分类,0.69
cascade_rcnn,module4,car,-0.0750,光照适应,0.72
cascade_rcnn,module4,traffic_light,-0.0635,场景分类,0.70
cascade_rcnn,module4,bird,-0.0552,颜色感知,0.71
cascade_rcnn,module4,backpack,-0.0622,场景分类,0.71
cascade_rcnn,module4,sports_ball,-0.0745,边缘检测,0.74
cascade_rcnn,module4,bottle,-0.0586,场景分类,0.68
cascade_rcnn,module4,apple,-0.0650,纹理识别,0.73
cascade_rcnn,module4,couch,-0.0545,场景分类,0.69
cascade_rcnn,module4,laptop,-0.0556,关键点检测,0.75


efficientnet,module1,person,0.5171,边缘检测,0.82
efficientnet,module1,car,0.5574,纹理识别,0.85
efficientnet,module1,traffic_light,0.5377,物体检测,0.83
efficientnet,module1,bird,0.5526,边缘检测,0.84
efficientnet,module1,backpack,0.5087,纹理识别,0.81
efficientnet,module1,sports_ball,0.5213,物体检测,0.82
efficientnet,module1,bottle,0.5093,边缘检测,0.81
efficientnet,module1,apple,0.5079,纹理识别,0.80
efficientnet,module1,couch,0.5085,物体检测,0.81
efficientnet,module1,laptop,0.5071,边缘检测,0.80
efficientnet,module2,person,0.1703,边界框回归,0.78
efficientnet,module2,car,0.1878,关键点检测,0.81
efficientnet,module2,traffic_light,0.1897,边界框回归,0.80
efficientnet,module2,bird,0.1697,光照适应,0.77
efficientnet,module2,backpack,0.1885,边界框回归,0.79
efficientnet,module2,sports_ball,0.1955,关键点检测,0.82
efficientnet,module2,bottle,0.1865,边界框回归,0.78
efficientnet,module2,apple,0.1600,颜色感知,0.76
efficientnet,module2,couch,0.1860,边界框回归,0.79
efficientnet,module2,laptop,0.1844,关键点检测,0.80
efficientnet,module3,person,0.0947,语义分割,0.75
efficientnet,module3,car,0.1094,场景分类,0.78
efficientnet,module3,traffic_light,0.1040,语义分割,0.76
efficientnet,module3,bird,0.0929,关系建模,0.74
efficientnet,module3,backpack,0.1029,语义分割,0.77
efficientnet,module3,sports_ball,0.1058,场景分类,0.77
efficientnet,module3,bottle,0.1073,语义分割,0.76
efficientnet,module3,apple,0.1019,多模态融合,0.73
efficientnet,module3,couch,0.1068,语义分割,0.76
efficientnet,module3,laptop,0.1097,场景分类,0.78
efficientnet,module4,person,0.0914,关系建模,0.72
efficientnet,module4,car,0.0762,多模态融合,0.75
efficientnet,module4,traffic_light,0.0927,关系建模,0.73
efficientnet,module4,bird,0.0873,物体检测,0.74
efficientnet,module4,backpack,0.0858,关系建模,0.72
efficientnet,module4,sports_ball,0.0833,多模态融合,0.74
efficientnet,module4,bottle,0.0965,关系建模,0.73
efficientnet,module4,apple,0.0765,边界框回归,0.71
efficientnet,module4,couch,0.0964,关系建模,0.73
efficientnet,module4,laptop,0.0888,多模态融合,0.74
efficientnet,module5,person,0.0338,场景分类,0.70
efficientnet,module5,car,0.0344,光照适应,0.73
efficientnet,module5,traffic_light,0.0292,场景分类,0.69
efficientnet,module5,bird,0.0307,颜色感知,0.71
efficientnet,module5,backpack,0.0449,场景分类,0.72
efficientnet,module5,sports_ball,0.0360,边缘检测,0.70
efficientnet,module5,bottle,0.0371,场景分类,0.71
efficientnet,module5,apple,0.0514,纹理识别,0.72
efficientnet,module5,couch,0.0330,场景分类,0.70
efficientnet,module5,laptop,0.0325,关键点检测,0.71


sparse_rcnn,module1,person,0.0096,物体检测,0.88
sparse_rcnn,module1,car,0.0098,边界框回归,0.91
sparse_rcnn,module1,traffic_light,0.0100,边缘检测,0.85
sparse_rcnn,module1,bird,0.0098,物体检测,0.87
sparse_rcnn,module1,backpack,0.0099,边界框回归,0.90
sparse_rcnn,module1,sports_ball,0.0100,纹理识别,0.86
sparse_rcnn,module1,bottle,0.0096,物体检测,0.86
sparse_rcnn,module1,apple,0.0098,边界框回归,0.89
sparse_rcnn,module1,couch,0.0097,颜色感知,0.83
sparse_rcnn,module1,laptop,0.0096,物体检测,0.85
sparse_rcnn,module2,person,-0.0062,关键点检测,0.82
sparse_rcnn,module2,car,-0.0078,语义分割,0.79
sparse_rcnn,module2,traffic_light,-0.0072,关键点检测,0.81
sparse_rcnn,module2,bird,-0.0063,光照适应,0.76
sparse_rcnn,module2,backpack,-0.0080,关键点检测,0.80
sparse_rcnn,module2,sports_ball,-0.0062,场景分类,0.78
sparse_rcnn,module2,bottle,-0.0076,关键点检测,0.79
sparse_rcnn,module2,apple,-0.0076,关系建模,0.74
sparse_rcnn,module2,couch,-0.0079,关键点检测,0.81
sparse_rcnn,module2,laptop,-0.0068,多模态融合,0.77
sparse_rcnn,module3,person,-0.0180,关系建模,0.72
sparse_rcnn,module3,car,-0.0164,多模态融合,0.76
sparse_rcnn,module3,traffic_light,-0.0115,物体检测,0.79
sparse_rcnn,module3,bird,-0.0104,关系建模,0.73
sparse_rcnn,module3,backpack,-0.0109,多模态融合,0.75
sparse_rcnn,module3,sports_ball,-0.0189,边界框回归,0.78
sparse_rcnn,module3,bottle,-0.0059,关系建模,0.71
sparse_rcnn,module3,apple,-0.0083,语义分割,0.74
sparse_rcnn,module3,couch,-0.0078,关系建模,0.72
sparse_rcnn,module3,laptop,-0.0046,多模态融合,0.74
sparse_rcnn,module4,person,-0.0284,场景分类,0.69
sparse_rcnn,module4,car,-0.0282,光照适应,0.72
sparse_rcnn,module4,traffic_light,-0.0296,场景分类,0.70
sparse_rcnn,module4,bird,-0.0265,颜色感知,0.71
sparse_rcnn,module4,backpack,-0.0286,场景分类,0.71
sparse_rcnn,module4,sports_ball,-0.0289,边缘检测,0.74
sparse_rcnn,module4,bottle,-0.0273,场景分类,0.68
sparse_rcnn,module4,apple,-0.0233,纹理识别,0.73
sparse_rcnn,module4,couch,-0.0264,场景分类,0.69
sparse_rcnn,module4,laptop,-0.0260,关键点检测,0.75


solov2,module1,person,0.0836,边缘检测,0.82
solov2,module1,car,0.0830,纹理识别,0.81
solov2,module1,traffic_light,0.0829,物体检测,0.83
solov2,module1,bird,0.0836,边缘检测,0.82
solov2,module1,backpack,0.0831,纹理识别,0.81
solov2,module1,sports_ball,0.0829,物体检测,0.83
solov2,module1,bottle,0.0838,边缘检测,0.83
solov2,module1,apple,0.0838,纹理识别,0.83
solov2,module1,couch,0.0838,物体检测,0.83
solov2,module1,laptop,0.0838,边缘检测,0.83
solov2,module2,person,0.1001,关键点检测,0.85
solov2,module2,car,0.0993,语义分割,0.84
solov2,module2,traffic_light,0.0994,关键点检测,0.84
solov2,module2,bird,0.1005,光照适应,0.86
solov2,module2,backpack,0.0989,关键点检测,0.84
solov2,module2,sports_ball,0.0992,场景分类,0.83
solov2,module2,bottle,0.1004,关键点检测,0.85
solov2,module2,apple,0.0993,关系建模,0.83
solov2,module2,couch,0.1010,关键点检测,0.86
solov2,module2,laptop,0.1004,多模态融合,0.85
solov2,module3,person,0.0488,关系建模,0.78
solov2,module3,car,0.0480,多模态融合,0.77
solov2,module3,traffic_light,0.0474,物体检测,0.76
solov2,module3,bird,0.0543,关系建模,0.80
solov2,module3,backpack,0.0546,多模态融合,0.80
solov2,module3,sports_ball,0.0531,边界框回归,0.79
solov2,module3,bottle,0.0516,关系建模,0.79
solov2,module3,apple,0.0486,语义分割,0.77
solov2,module3,couch,0.0569,关系建模,0.81
solov2,module3,laptop,0.0516,多模态融合,0.79
solov2,module4,person,0.0456,场景分类,0.75
solov2,module4,car,0.0451,光照适应,0.74
solov2,module4,traffic_light,0.0450,场景分类,0.74
solov2,module4,bird,0.0455,颜色感知,0.75
solov2,module4,backpack,0.0454,场景分类,0.75
solov2,module4,sports_ball,0.0459,边缘检测,0.76
solov2,module4,bottle,0.0451,场景分类,0.74
solov2,module4,apple,0.0458,纹理识别,0.76
solov2,module4,couch,0.0447,场景分类,0.74
solov2,module4,laptop,0.0452,关键点检测,0.75


grid_rcnn,module1,person,0.0096,边缘检测,0.85
grid_rcnn,module1,car,0.0098,纹理识别,0.88
grid_rcnn,module1,traffic_light,0.0100,物体检测,0.90
grid_rcnn,module1,bird,0.0098,边缘检测,0.86
grid_rcnn,module1,backpack,0.0099,纹理识别,0.89
grid_rcnn,module1,sports_ball,0.0100,物体检测,0.91
grid_rcnn,module1,bottle,0.0096,边缘检测,0.85
grid_rcnn,module1,apple,0.0098,纹理识别,0.87
grid_rcnn,module1,couch,0.0097,物体检测,0.88
grid_rcnn,module1,laptop,0.0096,边缘检测,0.84
grid_rcnn,module2,person,-0.0231,关键点检测,0.82
grid_rcnn,module2,car,-0.0220,网格预测,0.85
grid_rcnn,module2,traffic_light,-0.0235,关键点检测,0.83
grid_rcnn,module2,bird,-0.0227,边界框回归,0.84
grid_rcnn,module2,backpack,-0.0232,关键点检测,0.82
grid_rcnn,module2,sports_ball,-0.0197,网格预测,0.86
grid_rcnn,module2,bottle,-0.0241,关键点检测,0.81
grid_rcnn,module2,apple,-0.0253,边界框回归,0.83
grid_rcnn,module2,couch,-0.0220,关键点检测,0.84
grid_rcnn,module2,laptop,-0.0256,网格预测,0.85
grid_rcnn,module3,person,-0.1264,语义分割,0.78
grid_rcnn,module3,car,-0.1423,关系建模,0.75
grid_rcnn,module3,traffic_light,-0.1284,语义分割,0.77
grid_rcnn,module3,bird,-0.1263,多模态融合,0.76
grid_rcnn,module3,backpack,-0.1328,语义分割,0.78
grid_rcnn,module3,sports_ball,-0.1277,关系建模,0.74
grid_rcnn,module3,bottle,-0.1424,语义分割,0.75
grid_rcnn,module3,apple,-0.1526,多模态融合,0.73
grid_rcnn,module3,couch,-0.1377,语义分割,0.76
grid_rcnn,module3,laptop,-0.1415,关系建模,0.72
grid_rcnn,module4,person,-0.0465,场景分类,0.80
grid_rcnn,module4,car,-0.0596,光照适应,0.78
grid_rcnn,module4,traffic_light,-0.0555,场景分类,0.79
grid_rcnn,module4,bird,-0.0423,颜色感知,0.82
grid_rcnn,module4,backpack,-0.0443,场景分类,0.81
grid_rcnn,module4,sports_ball,-0.0654,光照适应,0.77
grid_rcnn,module4,bottle,-0.0486,场景分类,0.80
grid_rcnn,module4,apple,-0.0544,颜色感知,0.81
grid_rcnn,module4,couch,-0.0459,场景分类,0.81
grid_rcnn,module4,laptop,-0.0351,光照适应,0.83


libra_rcnn,module1,person,0.0096,物体检测,0.88
libra_rcnn,module1,car,0.0098,边界框回归,0.85
libra_rcnn,module1,traffic_light,0.0100,物体检测,0.90
libra_rcnn,module1,bird,0.0098,边缘检测,0.83
libra_rcnn,module1,backpack,0.0099,物体检测,0.89
libra_rcnn,module1,sports_ball,0.0100,边界框回归,0.86
libra_rcnn,module1,bottle,0.0096,物体检测,0.87
libra_rcnn,module1,apple,0.0098,纹理识别,0.84
libra_rcnn,module1,couch,0.0097,物体检测,0.88
libra_rcnn,module1,laptop,0.0096,边界框回归,0.85
libra_rcnn,module2,person,-0.0072,关键点检测,0.82
libra_rcnn,module2,car,-0.0064,语义分割,0.80
libra_rcnn,module2,traffic_light,-0.0099,关键点检测,0.84
libra_rcnn,module2,bird,-0.0078,光照适应,0.78
libra_rcnn,module2,backpack,-0.0070,关键点检测,0.83
libra_rcnn,module2,sports_ball,-0.0089,语义分割,0.81
libra_rcnn,module2,bottle,-0.0066,关键点检测,0.82
libra_rcnn,module2,apple,-0.0078,颜色感知,0.79
libra_rcnn,module2,couch,-0.0057,关键点检测,0.83
libra_rcnn,module2,laptop,-0.0077,语义分割,0.80
libra_rcnn,module3,person,-0.0730,关系建模,0.75
libra_rcnn,module3,car,-0.0815,多模态融合,0.72
libra_rcnn,module3,traffic_light,-0.0746,关系建模,0.77
libra_rcnn,module3,bird,-0.0656,场景分类,0.74
libra_rcnn,module3,backpack,-0.0776,关系建模,0.76
libra_rcnn,module3,sports_ball,-0.0805,多模态融合,0.71
libra_rcnn,module3,bottle,-0.0780,关系建模,0.75
libra_rcnn,module3,apple,-0.0746,姿态估计,0.73
libra_rcnn,module3,couch,-0.0765,关系建模,0.76
libra_rcnn,module3,laptop,-0.0752,多模态融合,0.72
libra_rcnn,module4,person,-0.0501,场景分类,0.80
libra_rcnn,module4,car,-0.0539,光照适应,0.78
libra_rcnn,module4,traffic_light,-0.0485,场景分类,0.82
libra_rcnn,module4,bird,-0.0439,颜色感知,0.79
libra_rcnn,module4,backpack,-0.0463,场景分类,0.81
libra_rcnn,module4,sports_ball,-0.0547,光照适应,0.77
libra_rcnn,module4,bottle,-0.0519,场景分类,0.80
libra_rcnn,module4,apple,-0.0556,姿态估计,0.76
